actor_loss,adjusted_no_steps,buffer_size,critic_loss,episode_num,episode_reward,eplenmean,eprewmean,fps,nupdates,sampling_loop,total_timesteps
0.0203007984906435,50,80000,0.010507974606007338,1600,-2.7544170000639494,50.0,-3.4391582749999996,4360,80000,1,80000
-0.01977741933427751,200,82000,0.00026003931954619473,1610,-0.3682074168225468,200.0,-0.742875,2650,82000,1,82000
0.019650241116760298,200,84000,4.150657962997939,1620,-56.28460284450422,200.0,-174.60394419999997,2359,84000,1,84000
0.08883957874029874,200,86000,3.516859250612906,1630,-1.9865652133688756,200.0,-1.9922722,1143,86000,1,86000
0.10965572901070118,200,88000,1.8040194323897594,1640,-0.866880775538243,200.0,-1.210931,1102,88000,1,88000
0.10982274308800698,200,90000,1.8769016805419232,1650,-2.411885607852268,200.0,-2.8660780000000003,1065,90000,1,90000
0.10367787692695857,200,92000,1.1154104037559591,1660,-2.5307481863420036,200.0,-1.3844564,944,92000,1,92000
0.11754718352109193,200,94000,0.9771829080267344,1670,-8.343296053606363,200.0,-6.8578734,920,94000,1,94000
0.08467365562915802,200,96000,0.2972057502044481,1680,-2.252405104888637,200.0,-3.6771254,833,96000,1,96000
0.07591409336775541,200,98000,0.2701165723343729,1690,-1.296009685694701,200.0,-1.7327582,816,98000,1,98000
0.10514958057925106,500,100000,0.22371159110812006,1700,-2.4932366437403135,200.0,-1.8380468,784,100000,1,100000
0.14087021661549806,500,102000,0.28151674544101113,1710,-2.548430444484794,200.0,-2.713608,698,102000,1,102000
0.16000050872564317,500,104000,0.36432763574010457,1720,1.5185330197195115,200.0,-0.15878140000000002,667,104000,1,104000
0.2034581413269043,500,106000,0.16242471368552652,1730,-6.947398513063034,200.0,-7.455805,610,106000,1,106000
0.2355017651617527,500,108000,0.22659721851872747,1740,-1.7846736389289675,200.0,-7.0907561999999995,590,108000,1,108000
0.30982245656847957,500,110000,0.23339094233250943,1750,-4.197722780631923,200.0,-19.9164162,572,110000,1,110000
